iter	RMSE
0	3036.434829
1	2939.451808
2	2848.917874
3	2764.776615
4	2685.96745
5	2612.016124
6	2541.918136
7	2476.98352
8	2414.289206
9	2357.024597
10	2303.996681
11	2253.874539
12	2206.565061
13	2162.115605
14	2120.792036
15	2083.487331
16	2047.017834
17	2013.341207
18	1981.468267
19	1952.030587
20	1925.070902
21	1900.621208
22	1876.346094
23	1853.089887
24	1831.993783
25	1812.478935
26	1794.39211
27	1777.213863
28	1761.291432
29	1746.26441
30	1731.591918
31	1717.915456
32	1706.154532
33	1693.991457
34	1683.060927
35	1671.313827
36	1661.497133
37	1651.996929
38	1643.359021
39	1632.300426
40	1624.738802
41	1614.421744
42	1606.332789
43	1597.908753
44	1588.965754
45	1581.706824
46	1576.02055
47	1570.252593
48	1562.863601
49	1557.58234
50	1551.276659
51	1545.072186
52	1539.978931
53	1535.886331
54	1530.606848
55	1525.224529
56	1520.387266
57	1516.504347
58	1511.108008
59	1506.519547
60	1502.273866
61	1498.755853
62	1495.190365
63	1491.193937
64	1488.451185
65	1485.739562
66	1482.405741
67	1479.900031
68	1475.861082
69	1473.541026
70	1470.978904
71	1467.701757
72	1464.839141
73	1461.800879
74	1459.554597
75	1457.456113
76	1455.403015
77	1453.243271
78	1451.141469
79	1448.648641
80	1446.328875
81	1444.320038
82	1442.478934
83	1440.918778
84	1439.32318
85	1437.83901
86	1435.77323
87	1433.870534
88	1432.083539
89	1430.825832
90	1429.350156
91	1428.073481
92	1425.695954
93	1424.477315
94	1423.005129
95	1421.470708
96	1420.368164
97	1419.131765
98	1417.471481
99	1416.399303
