iter	Passed	Remaining
0	151	14960
1	160	7849
2	168	5456
3	176	4231
4	183	3484
5	190	2990
6	199	2644
7	207	2382
8	214	2171
9	222	2003
10	229	1855
11	236	1731
12	242	1622
13	248	1527
14	255	1445
15	261	1372
16	268	1309
17	275	1255
18	283	1208
19	291	1165
20	298	1122
21	304	1081
22	311	1043
23	318	1009
24	325	976
25	332	946
26	339	918
27	347	892
28	353	865
29	360	841
30	366	815
31	372	791
32	379	769
33	386	751
34	393	730
35	400	712
36	407	693
37	414	675
38	421	659
39	428	642
40	433	624
41	440	607
42	448	594
43	455	579
44	461	563
45	466	547
46	471	532
47	477	517
48	483	503
49	488	488
50	494	474
51	499	460
52	504	447
53	510	434
54	515	422
55	521	409
56	526	397
57	533	386
58	539	374
59	547	364
60	556	355
61	563	345
62	570	335
63	577	324
64	583	314
65	589	303
66	596	293
67	601	283
68	608	273
69	613	262
70	618	252
71	625	243
72	630	233
73	636	223
74	642	214
75	647	204
76	652	194
77	658	185
78	665	176
79	671	167
80	676	158
81	681	149
82	687	140
83	693	132
84	698	123
85	703	114
86	710	106
87	716	97
88	721	89
89	726	80
90	732	72
91	738	64
92	743	55
93	749	47
94	754	39
95	760	31
96	765	23
97	772	15
98	778	7
99	784	0
